,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,
1,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,
2,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,
3,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,
4,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,
5,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,
6,152100,KOSPI,ARIRANG 200,,,,,,,,
7,295820,KOSPI,ARIRANG 200동일가중,,,,,,,,
8,253150,KOSPI,ARIRANG 200선물레버리지,,,,,,,,
9,253160,KOSPI,ARIRANG 200선물인버스2X,,,,,,,,
10,395750,KOSPI,ARIRANG ESG가치주액티브,,,,,,,,
11,395760,KOSPI,ARIRANG ESG성장주액티브,,,,,,,,
12,278420,KOSPI,ARIRANG ESG우수기업,,,,,,,,
13,292750,KOSPI,ARIRANG KRX300,,,,,,,,
14,309210,KOSPI,ARIRANG KRX300헬스케어,,,,,,,,
15,333940,KOSPI,ARIRANG KS로우볼가중TR,,,,,,,,
16,333950,KOSPI,ARIRANG KS로우사이즈가중TR,,,,,,,,
17,333960,KOSPI,ARIRANG KS모멘텀가중TR,,,,,,,,
18,333970,KOSPI,ARIRANG KS밸류가중TR,,,,,,,,
19,333980,KOSPI,ARIRANG KS퀄리티가중TR,,,,,,,,
20,269530,KOSPI,ARIRANG S&P글로벌인프라,,,,,,,,
21,251590,KOSPI,ARIRANG 고배당저변동50,,,,,,,,
22,161510,KOSPI,ARIRANG 고배당주,,,,,,,,
23,251600,KOSPI,ARIRANG 고배당주채권혼합,,,,,,,,
24,289670,KOSPI,ARIRANG 국채선물10년,,,,,,,,
25,298340,KOSPI,ARIRANG 국채선물3년,,,,,,,,
26,189400,KOSPI,ARIRANG 글로벌MSCI(합성 H),,,,,,,,
27,278620,KOSPI,ARIRANG 단기채권액티브,,,,,,,,
28,269540,KOSPI,ARIRANG 미국S&P500(H),,,,,,,,
29,287180,KOSPI,ARIRANG 미국나스닥테크,,,,,,,,
